,Hospital Name,State,District,Contact Details,Total Beds Available,Latitude,Longitude
1591,"Govt Medical College,Jammu",Jammu and Kashmir,Jammu,['01912571616'],111,32.72806,74.94885
1592,"ASCOMS Hospital, Jammu",Jammu and Kashmir,Jammu,['01912571616'],116,32.72806,74.94885
1593,Rajiv Gandhi Hospital,Jammu and Kashmir,Jammu,['01912571616'],60,32.72806,74.94885
1594,"DRDO Hospital, Bhagwati Nagar,Jammu",Jammu and Kashmir,Jammu,['01912571616'],500,32.72806,74.94885
1595,"Govt Medical College,Kathua",Jammu and Kashmir,Kathua,['01922234314'],172,32.37203,75.53105
1596,A.K Gupta Hospital Kathua,Jammu and Kashmir,Kathua,['01922234314'],25,32.37203,75.53105
1597,CHC Basohli,Jammu and Kashmir,Kathua,['01922234314'],25,32.37203,75.53105
1598,CHC Parole,Jammu and Kashmir,Kathua,['01922234314'],50,32.37203,75.53105
1599,District Hospital Kishtwar,Jammu and Kashmir,Kishtwar,['01995259555'],90,,
1600,CHC Kupwara,Jammu and Kashmir,Kupwara,['01955253658'],150,34.40245,73.98476
1601,CHC Mendhar,Jammu and Kashmir,Poonch,['01965222079'],30,33.74119,74.33433
1602,District Hospital Poonch,Jammu and Kashmir,Poonch,['01965222079'],42,33.74119,74.33433
1603,CHC Surankote,Jammu and Kashmir,Poonch,['01965222079'],30,33.74119,74.33433
1604,CHC Mandi,Jammu and Kashmir,Poonch,['01965222079'],10,33.74119,74.33433
1605,District Hospital Pulwama,Jammu and Kashmir,Pulwama,"['01933240912', '01933240412']",155,33.87848,74.89935
1606,"Govt Medical College, Rajouri",Jammu and Kashmir,Rajouri,['01962262640'],170,33.37143,74.31414
1607,SDH Katra,Jammu and Kashmir,Reasi,"['01991245669', '01991245770']",20,32.99169,74.93367
1608,District Hospital Reasi,Jammu and Kashmir,Reasi,"['01991245669', '01991245770']",50,,
1609,Narayana Hospital Katra,Jammu and Kashmir,Reasi,"['01991245669', '01991245770']",30,32.99169,74.93367
1610,DH Samba,Jammu and Kashmir,Samba,"['01923246915', '01923241004']",23,32.77831,75.14344
1611,"CHC Ram Garh, Samba",Jammu and Kashmir,Samba,"['01923246915', '01923241004']",30,32.56049,75.11927
1612,DH Shopian (AMT School,Jammu and Kashmir,Shopian,['01933260825'],54,33.7223,75.08687
1613,"Chest Diseases Hospital,Srinagar",Jammu and Kashmir,Srinagar,"['01942457552', '01942457543']",3,34.03631,74.91772
1614,"SMHS Hospital,Srinagar",Jammu and Kashmir,Srinagar,"['01942457552', '01942457543']",211,34.08719,74.8027
1615,"Kashmir Nursing Home, Srinagar",Jammu and Kashmir,Srinagar,"['01942457552', '01942457543']",49,34.03631,74.91772
1616,"SKIMS Hospital Soura,Srinagar",Jammu and Kashmir,Srinagar,"['01942457552', '01942457543']",103,34.03631,74.91772
1617,LD Hospital,Jammu and Kashmir,Srinagar,"['01942457552', '01942457543']",17,34.03631,74.91772
1618,DRDO Hospital Khanmoh,Jammu and Kashmir,Srinagar,"['01942457552', '01942457543']",496,34.03631,74.91772
1619,District Hospital Udhampur,Jammu and Kashmir,Udhampur,"['01992272725', '01992272729']",90,32.92093,75.13721
1620,CHC Ramnagar,Jammu and Kashmir,Udhampur,"['01992272725', '01992272729']",20,32.92093,75.13721
1621,CHC Chenani,Jammu and Kashmir,Udhampur,"['01992272725', '01992272729']",50,32.92093,75.13721
1622,DH Ramban,Jammu and Kashmir,Ramban,['01998266444'],25,33.2428,75.2351
1623,CHC Banihal,Jammu and Kashmir,Ramban,['01998266444'],20,33.4365,75.1968
1624,CHC Batote,Jammu and Kashmir,Ramban,['01998266444'],10,33.1183,75.3089
1625,"Terna Hospital, Nerul",Maharastra,Navi Mumbai,022-27567460,92,19.02086,73.02447
1626,"Fortis Hospital, Vashi",Maharastra,Navi Mumbai,022-27567460,59,19.02086,73.02447
1627,"Reliance Hospital, Koparkhairne",Maharastra,Navi Mumbai,022-27567460,100,19.02086,73.02447
1628,"MGM Hospital, CBD BELAPUR",Maharastra,Navi Mumbai,022-27567460,87,19.02086,73.02447
1629,"MPCT Hospital, Sanpada",Maharastra,Navi Mumbai,022-27567460,92,19.02086,73.02447
1630,"Apollo Hospital, Belapur",Maharastra,Navi Mumbai,022-27567460,137,19.02086,73.02447
1631,"PKC Hospital, Vashi",Maharastra,Navi Mumbai,022-27567460,46,19.02086,73.02447
1632,"Indravati Hospital, Airoli",Maharastra,Navi Mumbai,022-27567460,89,19.02086,73.02447
1633,"Sunshine Hospital, Nerul",Maharastra,Navi Mumbai,022-27567460,32,19.02086,73.02447
1634,"Dr. D. Y. Patil Hospital, Nerul",Maharastra,Navi Mumbai,022-27567460,392,19.02086,73.02447
1635,CIDCO Exhibition Center Vashi,Maharastra,Navi Mumbai,022-27567460,699,,
1636,"New Millennium hospital, Sanpada",Maharastra,Navi Mumbai,022-27567460,26,19.0431,73.07753
1637,"New Manak hospital, Nerul",Maharastra,Navi Mumbai,022-27567460,37,19.02086,73.02447
1638,Venus multispeciality hospital,Maharastra,Navi Mumbai,022-27567460,12,19.04551,73.03698
1639,MGM - VASHI,Maharastra,Navi Mumbai,022-27567460,98,19.07174,73.00921
1640,MGM - Sanpada,Maharastra,Navi Mumbai,022-27567460,75,19.06359,73.00854
1641,Radha Swami Satsang Hall,Maharastra,Navi Mumbai,022-27567460,349,18.98741,73.10728
1642,Ojas Hospital,Maharastra,Navi Mumbai,022-27567460,14,19.02086,73.02447
1643,criticare iccu multispeciality & Trauma center,Maharastra,Navi Mumbai,022-27567460,22,,
1644,Global 5 Health Care & Multispeciality Hospital,Maharastra,Navi Mumbai,022-27567460,21,19.02086,73.02447
1645,Divine Hospital,Maharastra,Navi Mumbai,022-27567460,34,19.02086,73.02447
1646,Export House Turbe,Maharastra,Navi Mumbai,022-27567460,492,19.08389,72.99847
1647,Shree Hospital Vashi,Maharastra,Navi Mumbai,022-27567460,20,28.64907,77.11494
1648,Sai Seva Hospital,Maharastra,Nashik,9970766800,66,19.99076,73.78707
1649,Satyam Hospital,Maharastra,Navi Mumbai,022-27567460,30,19.02086,73.02447
1650,Suyash Hospital,Maharastra,Nashik,9422258670,81,19.99076,73.78707
1651,Apple Hospital,Maharastra,Navi Mumbai,022-27567460,15,19.02086,73.02447
1652,"MGM Hospital, Kamothe",Maharastra,Navi Mumbai,022-27567460,53,19.02086,73.02447
1653,Om Gagan Giri Koparkhairne,Maharastra,Navi Mumbai,022-27567460,13,19.10758,72.99896
1654,Avadhoot hospital,Maharastra,Navi Mumbai,022-27567460,20,19.02086,73.02447
1655,Nirmal Hospital,Maharastra,Navi Mumbai,022-27567460,12,19.02086,73.02447
1656,Ashwini Speciality Hospital,Maharastra,Navi Mumbai,022-27567460,4,19.02086,73.02447
1657,Jasmine Hospital,Maharastra,Navi Mumbai,022-27567460,4,19.02086,73.02447
1658,Acharya Shri Nanesh hospital CBD,Maharastra,Navi Mumbai,022-27567460,34,19.03274,73.04143
1659,Heritage Health Care,Maharastra,Navi Mumbai,022-27567460,15,19.05321,73.07065
1660,Gavali Hospital,Maharastra,Navi Mumbai,022-27567460,12,19.02086,73.02447
1661,Ashirwad Hospital Koparkhairane,Maharastra,Navi Mumbai,022-27567460,10,19.09493,73.02623
1662,New bombay Hospital Airoli,Maharastra,Navi Mumbai,022-27567460,20,19.02086,73.02447
1663,CIDCO EXHIBITION. CENTER ICU VASHI,Maharastra,Navi Mumbai,022-27567460,69,19.07273,72.99496
1664,Mayuresh planet Covid Center,Maharastra,Navi Mumbai,022-27567460,450,19.01692,73.03773
1665, ALIPURDUAR DISTRICT HOSPITAL (Government Hospital),West Bengal,ALIPURDUAR,  9677028903,0,26.73587,89.36436
1666, BIRPARA SGH (Government Hospital),West Bengal,ALIPURDUAR,  9647817916,0,26.70435,89.2799
1667, FALAKATA SUPER SPECIALITY HOSPITAL (Government Hospital),West Bengal,ALIPURDUAR,  8420507892,0,26.70435,89.2799
1668," INTEGRATED AYUSH HOSPITAL, TAPSIKATHA (Government Hospital)",West Bengal,ALIPURDUAR,  9836055469,0,26.70435,89.2799
1669, Barjora Super Speciality Hospital (Government Hospital),West Bengal,BANKURA,  8509658547,0,23.12927,87.19972
1670, Bishnupur Super Speciality Hospital (Government Hospital),West Bengal,BANKURA,  8637836997,0,23.12927,87.19972
1671, COVID Unit BSMCH (Government Hospital),West Bengal,BANKURA,  9434231480,0,23.12927,87.19972
1672, ONDA SUPER SPECIALITY HOSPITAL (Government Hospital),West Bengal,BANKURA,  8350057933,0,23.12927,87.19972
1673, Bolpur Super Specialty Hospital (Government Hospital),West Bengal,BIRBHUM,  9647365859,0,,
1674, COVID HOSPITAL SSH SURI (Government Hospital),West Bengal,BIRBHUM,  9434220944,0,24.06277,87.69082
1675, Night Shelter at SURI DH (Government Hospital),West Bengal,BIRBHUM,  9475035111,0,24.06277,87.69082
1676, RAMPURHAT GOVT MEDICAL COLLEGE AND HOSPITAL (Government Hospital),West Bengal,BIRBHUM,  9330980945,0,24.06277,87.69082
1677," SURI SADAR HOSPITAL, NTS SAFE HOME (Government Hospital)",West Bengal,BIRBHUM,  9434220944,0,24.06277,87.69082
1678, COOCHBEHAR POLICE HOSPITAL (Government Hospital),West Bengal,COOCHBEHAR,  8670544844,0,,
1679, DINHATA SUB DIVISIONAL HOSPITAL (Government Hospital),West Bengal,COOCHBEHAR,  8436789565,0,,
1680, MAHARAJA JITENDRA NARAYAN MEDICAL COLLEGE HOSPITAL (Government Hospital),West Bengal,COOCHBEHAR,  7605041535,0,23.66784,87.68284
1681, MATHABHANGA SUB DIVISIONAL HOSPITAL (Government Hospital),West Bengal,COOCHBEHAR,  9641363961,0,,
1682, TUFANGANJ MENTAL HOSPITAL (Government Hospital),West Bengal,COOCHBEHAR,  9614142551,0,,
1683, BARUIPUR COVID HOSPITAL (Government Hospital),West Bengal,DAKSHIN 24 PARGANA,  9432582068,0,22.36544,88.4325
1684, CANNING COVID HOSPITAL (Government Hospital),West Bengal,DAKSHIN 24 PARGANA,  9800374819,0,22.31613,88.66268
1685, DIAMOND HARBOUR GOVERNMENT MEDICAL COLLEGE AND HOSPITAL (Government Hospital),West Bengal,DAKSHIN 24 PARGANA,  7797118955,0,22.18972,88.19092
1686, ESI HOSPITAL BUDGE BUDGE (Government Hospital),West Bengal,DAKSHIN 24 PARGANA,  9831737068,0,22.47308,88.17841
1687, K. S. ROY T B HOSPITAL (Government Hospital),West Bengal,DAKSHIN 24 PARGANA,  9903966397,0,,
1688, KAKDWIP SUPERSPECIALITY HOSPITAL (Government Hospital),West Bengal,DAKSHIN 24 PARGANA,  8348670855,0,21.87914,88.1913
1689, Narendrapur R K Mission Safe Home (Government Hospital),West Bengal,DAKSHIN 24 PARGANA,  8777709243,0,22.6974,88.26053
1690, BALURGHAT DISTRICT HOSPITAL (Government Hospital),West Bengal,DAKSHIN DINAJPUR,  339676475,0,,
1691, Gangarampur Sub Divisional Hospital (Government Hospital),West Bengal,DAKSHIN DINAJPUR,  9593165100,0,25.34562,88.63654
1692, Natya Utkarshya Kendra (Government Hospital),West Bengal,DAKSHIN DINAJPUR,  9064140556,0,25.34562,88.63654
1693, DARJEELING DISTRICT HOSPITAL (Government Hospital),West Bengal,DARJEELING,  03542251555,0,26.83386,88.30684
1694, KURSEONG SUB DIVISIONAL HOSPITAL (Government Hospital),West Bengal,DARJEELING,  9679742995,0,,
1695, NORTH BENGAL MEDICAL COLLEGE AND HOSPITAL (Government Hospital),West Bengal,DARJEELING,  8348810772,0,26.83386,88.30684
1696, SILIGURI DISTRICT HOSPITAL (Government Hospital),West Bengal,DARJEELING,  9002755031,0,26.71074,88.42727
1697, Arambagh Sub-Divisional Hospital (Government Hospital),West Bengal,HOOGHLY,  7605059328,0,,
1698, Chandannagar Sub Divisional Hospital (Government Hospital),West Bengal,HOOGHLY,  7605059328,0,,
1699, ESI Bandel (Government Hospital),West Bengal,HOOGHLY,  7605059328,0,,
1700, ESI Hospital - Serampore (Government Hospital),West Bengal,HOOGHLY,  03326221703,0,,
1701, Gourhati ESI Hospital (Government Hospital),West Bengal,HOOGHLY,  03326330070,0,,
1702," Imambara District Hospital, Hooghly (Government Hospital)",West Bengal,HOOGHLY,  7605059328,0,,
1703, Serampore Sub-Divisional Hospital (Government Hospital),West Bengal,HOOGHLY,  7605059328,0,,
1704, Singur TCF (Government Hospital),West Bengal,HOOGHLY,  7605059328,0,,
1705, Uttarpara State General Hospital (Government Hospital),West Bengal,HOOGHLY,  7605059328,0,,
1706, Baltikuri ESI Covid Hospital (Government Hospital),West Bengal,HOWRAH,  8240235865,0,22.58822,88.32314
1707, Bauria SGH (Government Hospital),West Bengal,HOWRAH,"  9474688332, 9433213370, 7003089471, 9831191683, 8584971102",0,22.58822,88.32314
1708, Belur ESI T.B. Hospital (Government Hospital),West Bengal,HOWRAH,"  03326463061, 8617292382",0,22.58822,88.32314
1709, Gabberia SGH (Government Hospital),West Bengal,HOWRAH,"  9231179266, 9836621273, 9836393872",0,22.58822,88.32314
1710, Howrah DH (Government Hospital),West Bengal,HOWRAH,  9051550993,0,22.58822,88.32314
1711, Satyabala IDH (Government Hospital),West Bengal,HOWRAH,  9073770989,0,22.58822,88.32314
1712, T L Jaiswal SGH (Government Hospital),West Bengal,HOWRAH,  6290449155,0,22.58822,88.32314
1713, Udaynarayanpur SGH (Government Hospital),West Bengal,HOWRAH,  9733617391,0,22.58822,88.32314
1714, Uluberia ESI Hospital (Government Hospital),West Bengal,HOWRAH,  03326610215,0,22.58822,88.32314
1715, Uluberia SDH SSH (Government Hospital),West Bengal,HOWRAH,  03326612945,0,22.58822,88.32314
1716, Biswa Bangla Krirangan COVID Hospital (Government Hospital),West Bengal,JALPAIGURI,"  8207283307, 8167880988,",0,26.5243,88.72002
1717," COVID Care Center, Mal (Government Hospital)",West Bengal,JALPAIGURI,  9775613688,0,26.5243,88.72002
1718," COVID Ward, MAL SDH (Government Hospital)",West Bengal,JALPAIGURI,  8101093533,0,26.5243,88.72002
1719," Night Shelter, COVID Hospital, Jalpaiguri (Government Hospital)",West Bengal,JALPAIGURI,  8597965016,0,26.5243,88.72002
1720," SARI Hospital, Jalpaiguri SSH (Government Hospital)",West Bengal,JALPAIGURI,  8597965016,0,26.5243,88.72002
1721," SARI Hospital, Mal Super speciality (Government Hospital)",West Bengal,JALPAIGURI,  7478964071,0,26.5243,88.72002
1722," Covid Hospital, Night Shelter (Government Hospital)",West Bengal,JHARGRAM,  6297478368,0,23.85887,88.54005
1723, Gopiballavpur Super Speciality Hospital (Government Hospital),West Bengal,JHARGRAM,  9339689886,0,26.9006,81.01533
1724, Jhargram District Hospital (Government Hospital),West Bengal,JHARGRAM,  6297478368,0,23.85887,88.54005
1725, Nayagram Super Speciality Hospital (Government Hospital),West Bengal,JHARGRAM,  9732151852,0,22.08972,87.22001
1726, TRIVENI COVID HOSPITAL (Government Hospital),West Bengal,KALIMPONG,  9832748207,0,24.49181,94.00557
1727," AMRI, Salt Lake - Vivekananda Yuba Bharati Krirangan Salt Lake Stadium (Satellite Govt. Building)",West Bengal,KOLKATA METROPOLITAN AREA,  9163645544/ 7596058696,0,22.5536,88.40225
1728, Calcutta National Medical College and Hospital (Government Hospital),West Bengal,KOLKATA METROPOLITAN AREA,  91634 21886,0,22.5536,88.40225
1729, CHITTARANJAN NATIONAL CANCER INSTITUTE-CNCI (Government Hospital),West Bengal,KOLKATA METROPOLITAN AREA,  033 247655102/6289726011,0,22.5536,88.40225
1730, College of Medicine Sagore Dutta Hospital (Government Hospital),West Bengal,KOLKATA METROPOLITAN AREA,  033-25531316 /033-25239058,0,22.5536,88.40225
1731, ESI Hospital Maniktala (Government Hospital),West Bengal,KOLKATA METROPOLITAN AREA,  9831790546,0,22.5536,88.40225
1732, ESI Hospital Sealdah (Government Hospital),West Bengal,KOLKATA METROPOLITAN AREA,  6290514135,0,22.5536,88.40225
1733, I.D. And B.G. Hospital (Government Hospital),West Bengal,KOLKATA METROPOLITAN AREA,  033 2303 2200,0,22.5536,88.40225
1734, M R Bangur Hospital (Government Hospital),West Bengal,KOLKATA METROPOLITAN AREA,  088207 02070/88202 07070,0,22.5536,88.40225
1735," Medical College and Hospital, Kolkata, (Government Hospital)",West Bengal,KOLKATA METROPOLITAN AREA,  033 22551614 /033 22551621,0,22.5536,88.40225
1736, Nil Ratan Sarkar Medical College and Hospital (Government Hospital),West Bengal,KOLKATA METROPOLITAN AREA,  033 2286 0033 /033 2286-0103-08,0,22.58639,88.35351
1737, R. G. Kar Medical College and Hospital (Government Hospital),West Bengal,KOLKATA METROPOLITAN AREA,  033 2530 4557,0,22.5536,88.40225
1738, Sambhunath Pandit Hospital (Government Hospital),West Bengal,KOLKATA METROPOLITAN AREA,  033 2302 2820,0,22.5536,88.40225
1739, Chanchal SSH Malda (Government Hospital),West Bengal,MURSHIDABAD,  9134203473,0,24.28722,88.36601
1740, Malda Medical College and Hospital (Government Hospital),West Bengal,MURSHIDABAD,  9883233788,0,24.28722,88.36601
1741, KALYANI ESI HOSPITAL (Government Hospital),West Bengal,PASCHIM MEDINIPUR,  03325828214,0,22.35991,87.24333
1742, NABADWIP STATE GENERAL HOSPITAL (Government Hospital),West Bengal,PASCHIM MEDINIPUR,  7797035615,0,23.41045,88.36592
1743, NETAJI SUBHASH SANATORIUM HOSPITAL (Government Hospital),West Bengal,PASCHIM MEDINIPUR,  7605036189,0,22.35991,87.24333
1744, RANAGHAT SUB-DIV HOSPITAL (Government Hospital),West Bengal,PASCHIM MEDINIPUR,"  9333319675, 9088871377, 8637886036",0,22.35991,87.24333
1745, SHAKTINAGAR ZILLA HOSPITAL (Government Hospital),West Bengal,PASCHIM MEDINIPUR,  7548975285,0,22.35991,87.24333
1746, TEHATTA SDH (Government Hospital),West Bengal,PASCHIM MEDINIPUR,  7586805491,0,22.35991,87.24333
1747, Burdwan Medical College and Hospital (Government Hospital),West Bengal,PURBA BARDHHAMAN,  8972793553,0,23.4058,87.89461
1748, Kalna Sub-Divisional Hospital (Government Hospital),West Bengal,PURBA BARDHHAMAN,  8972995911,0,,
1749, Katwa Sub-Divisional Hospital (Government Hospital),West Bengal,PURBA BARDHHAMAN,"  9734991686, 7001395934, 03453-255060",0,,
1750, Krishi Bhawan (Government Hospital),West Bengal,PURBA BARDHHAMAN,  9339633887,0,,
1751, Contai Sub Divisional Hospital (Government Hospital),West Bengal,PURBA MEDINIPUR,  9083246426,0,21.91675,87.74232
1752, EGRA SUB DIVISIONAL AND SUPER SPECIALITY HOSPITAL (Government Hospital),West Bengal,PURBA MEDINIPUR,  7364045140,0,21.91675,87.74232
1753, HALDIA SUB DIVISIONAL HOSPITAL (Government Hospital),West Bengal,PURBA MEDINIPUR,  7364045140,0,22.02777,88.04669
1754, Nandigram SSH (Government Hospital),West Bengal,PURBA MEDINIPUR,  9932393704,0,21.91675,87.74232
1755, PANSKURA SUPER SPECIALITY HOSPITAL (Government Hospital),West Bengal,PURBA MEDINIPUR,  7364045140,0,21.91675,87.74232
1756, TAMLUK DISTRICT HOSPITAL (Government Hospital),West Bengal,PURBA MEDINIPUR,  7364045140,0,21.91675,87.74232
1757, Covid Hospital Deben Mahato Govt Medical College and Hospital (Government Hospital),West Bengal,PURULIA,  7583988101,0,23.20086,86.29734
1758, RAGHUNATHPUR COVID HOSPITAL (Government Hospital),West Bengal,PURULIA,  8597376921,0,23.20086,86.29734
1759, Ashokenagar State General Hospital (Government Hospital),West Bengal,UTTAR 24 PARGANA,  8145404375,0,22.83782,88.61537
1760, Baranagar State General Hospital (Government Hospital),West Bengal,UTTAR 24 PARGANA,  7605057322,0,,
1761, Barasat District Hospital (Government Hospital),West Bengal,UTTAR 24 PARGANA,  7605057313,0,22.71827,88.48021
1762, Basirhat District Hospital (Government Hospital),West Bengal,UTTAR 24 PARGANA,  9832753064,0,22.66852,88.86967
1763, Bhatpara State General Hospital (Government Hospital),West Bengal,UTTAR 24 PARGANA,  9163068021,0,22.88997,88.42569
1764, BN Bose SDH (Government Hospital),West Bengal,UTTAR 24 PARGANA,  9831227779,0,,
1765," Dr JR Dhar Sub Divisional Hospital, Bongaon (Government Hospital)",West Bengal,UTTAR 24 PARGANA,  7605057314,0,,
1766, Dr. B. N. Bose SDH Barrackpore (Government Hospital),West Bengal,UTTAR 24 PARGANA,  9903129985,0,22.9353,88.61297
1767, ESI Hospital Kamarhati (Government Hospital),West Bengal,UTTAR 24 PARGANA,  03329512346,0,,
1768, Gobardanga COVID Hospital (Government Hospital),West Bengal,UTTAR 24 PARGANA,  7605057323/ 7605057313/ 9804950032,0,,
1769, Habra State General Hospital (Government Hospital),West Bengal,UTTAR 24 PARGANA,  03216-237294,0,22.95213,88.76574
1770, Naihati State General Hospital (Government Hospital),West Bengal,UTTAR 24 PARGANA,  7439623721,0,,
1771, Panihati State General Hospital (Government Hospital),West Bengal,UTTAR 24 PARGANA,  7605057321,0,22.69503,88.37706
1772, ISLAMPUR URDU ACADEMY (Government Hospital),West Bengal,UTTAR DINAJPUR,  8370963488,0,,
1773, RAIGANJ GOVERNMENT MEDICAL COLLEGE AND HOSPITAL (Government Hospital),West Bengal,UTTAR DINAJPUR,  7479000192,0,23.66784,87.68284
1774,"Sub Divisional Hospital Forbesganj, Araria",Bihar,ARARIA,9470727495,30,26.3025,87.2656
1775,Sadar Hospital Araria,Bihar,ARARIA,9431087691,30,,
1776,CHC Bhargama,Bihar,ARARIA,9470003038,10,26.06406,87.1499
1777,CHC Palasi,Bihar,ARARIA,9470003037,10,26.2499,87.4515
1778,CHC NARPATGANJ,Bihar,ARARIA,9470003039,10,26.3341,87.1044
1779,"HOSTEL BLOCK, ANM SCHOOLGIRLS HOSTEL SADAR HOSPITAL ARWAL",Bihar,ARWAL,8084540804,246,,
1780,ACADEMIC BLOCK GNM SCHOOL,Bihar,ARWAL,9934955965,100,,
1781,"DIET Tarar, Daudnagar",Bihar,AURANGABAD,7782034134,50,,
1782,SDH Daudnagar,Bihar,AURANGABAD,9471001234,75,25.0335,84.4044
1783,CHC RAFIGANJ,Bihar,AURANGABAD,9470003055,15,24.81598,84.63708
1784,CHC MADANPUR,Bihar,AURANGABAD,9470003053,15,24.6743,84.54
1785,CHC DEO,Bihar,AURANGABAD,9470003060,15,24.72541,84.43748
1786,CHC OBRA,Bihar,AURANGABAD,9470003062,15,24.88888,84.37276
1787,CHC BARUN,Bihar,AURANGABAD,9470003057,15,24.87242,84.21637
1788,Nasha Mukti Kendra Aurangabad,Bihar,AURANGABAD,8544402015,18,25.06412,84.43446
1789,APHC SIRIS BARUN,Bihar,AURANGABAD,9470003057,20,24.79574,84.3139
1790,PNB TRAINING INSTITUTE,Bihar,AURANGABAD,9470003065,50,24.81743,84.40948
1791,CHC Haspura,Bihar,AURANGABAD,9470003058,15,24.81743,84.40948
1792,DH Banka,Bihar,BANKA,9470003075,100,24.8809,86.9226
1793,"Para Medical Institute, Banka",Bihar,BANKA,9470003075,200,24.84084,86.81642
1794,Railway Guest House Bousi,Bihar,BANKA,9661044105,100,24.84084,86.81642
1795,Jamua Dharamshala Katoria,Bihar,BANKA,7766098289,100,24.8311,86.5354
1796,DH Begusarai,Bihar,BEGUSARAI,8340657552,53,25.55907,85.9029
1797,SDH KAHALGAON DCHC,Bihar,BHAGALPUR,9470003129,50,25.26232,87.23034
1798,SDH Naugachiya,Bihar,BHAGALPUR,9470003117,40,25.28529,87.12733
1799,JLNMCH BHAGALPUR,Bihar,BHAGALPUR,9431213778,518,25.38563,87.08758
1800,District Hospital-Bgp,Bihar,BHAGALPUR,8709895007,100,25.28529,87.12733
1801,Tapaswi Nursing Home,Bihar,BHAGALPUR,9431376315,35,25.28529,87.12733
1802,Sriram Hospital,Bihar,BHAGALPUR,8825395771,38,25.28529,87.12733
1803,Glocal Hospital,Bihar,BHAGALPUR,7320923601,110,25.24131,87.0153
1804,CNM Hospital,Bihar,BHAGALPUR,8826515585,40,25.28529,87.12733
1805,Hindaal Hospital,Bihar,BHAGALPUR,7903268522,31,25.28529,87.12733
1806,City Hospital Bhagalpur,Bihar,BHAGALPUR,9931729562,11,25.38563,87.08758
1807,Pulse Hospital,Bihar,BHAGALPUR,7004521611,49,25.25354,86.97756
1808,Paradise Hospital,Bihar,BHAGALPUR,8271580382,30,25.28529,87.12733
1809,"Rahman Clinic Tararpur, Bhagalpur",Bihar,BHAGALPUR,9431214324,20,25.28529,87.12733
1810,J.P Multi Speciality Hospital,Bihar,BHAGALPUR,9430850315,12,25.28529,87.12733
1811,District Hospital Ara,Bihar,BHOJPUR,9304905507,105,25.63457,85.11398
1812,SDH Jagdishpur,Bihar,BHOJPUR,9470003143,100,25.4779,84.44918
1813,"ANM Training School, Jagdishpur",Bihar,BHOJPUR,9905081578,150,26.286,80.8296
1814,ANM TRAINING SCHOOL SAHEJANI PIRO,Bihar,BHOJPUR,9470003153,100,25.3295,84.405
1815,"Para Medical Hostal Male, Buxar",Bihar,BUXAR,9470003171,150,25.4996,84.10056
1816,"Para Medical Hostal Female, Buxar",Bihar,BUXAR,9470003171,150,25.4996,84.10056
1817,"GNM School, Buxar",Bihar,BUXAR,9470003171,100,25.4996,84.10056
1818,PARA MEDICAL ADMISTRATIVE BLOCK,Bihar,BUXAR,9470003171,72,25.4996,84.10056
1819,SDH Dumraw,Bihar,BUXAR,9693445047,50,25.52993,84.14849
1820,DMCH Darbhanga,Bihar,DARBHANGA,8226847983,140,26.13211,85.90128
1821,CHC Kiratpur,Bihar,DARBHANGA,9470003225,50,26.15902,86.0252
1822,Old Building PHC Bahadurpur,Bihar,DARBHANGA,9470003223,20,25.893,86.0051
1823,Manigachi PHC New Building,Bihar,DARBHANGA,7759824917,20,26.1839,86.1603
1824,Zila School Examination Block,Bihar,DARBHANGA,947003228,300,26.12951,85.89575
1825,CHC Alinagar,Bihar,DARBHANGA,9470003225,20,26.18127,85.88709
1826,CHC Baheri,Bihar,DARBHANGA,9470003238,10,25.94326,86.0466
1827,CHC Ghanshyampur,Bihar,DARBHANGA,9470003227,10,26.01201,86.20935
1828,CHC Hanumannagar,Bihar,DARBHANGA,9470003229,10,25.25198,86.98758
1829,CHC Keoti,Bihar,DARBHANGA,9430037324,10,26.23593,85.90741
1830,CHC Singhwara,Bihar,DARBHANGA,9470003231,10,26.1733,85.8239
1831,SDH Benipur,Bihar,DARBHANGA,9471640727,40,26.0551,86.1456
1832,PRASAD POLYCLINIC,Bihar,DARBHANGA,9560387796,88,26.15902,86.0252
1833,PHC HAYAGHAT,Bihar,DARBHANGA,9470003239,10,25.7712,86.1776
1834,PHC GOURA BAURAM,Bihar,DARBHANGA,9470003237,10,25.91,86.1691
1835,PHC K ASTHAN,Bihar,DARBHANGA,9470003241,10,26.15902,86.0252
1836,PHC K ASTHAN SATIGHAT,Bihar,DARBHANGA,9470003232,10,26.15902,86.0252
1837,PHC TARDIH,Bihar,DARBHANGA,9470003233,10,26.15902,86.0252
1838,PHC DARBHANGA SADAR,Bihar,DARBHANGA,9470003234,10,26.03404,85.81561
1839,DIET CENTER II & GNM Para Medical Hostel,Bihar,EAST CHAMPARAN,9534469433,201,,
1840,SDH Building Pakaridayal,Bihar,EAST CHAMPARAN,9470003183,50,26.66117,85.14643
1841,"ANM Hostel, Sikrahna (RH Dhaka Campus)",Bihar,EAST CHAMPARAN,9470003182,50,,
1842,"ANM Hostel, SDH Areraj",Bihar,EAST CHAMPARAN,9470003190,50,,
1843,"ANM Hostel, SDH Chakiya",Bihar,EAST CHAMPARAN,9470003175,50,,
1844,Rahmaniya medical center,Bihar,EAST CHAMPARAN,7070990616,60,26.286,80.8296
1845,"DUNCAN HOSPITAL, RAXAUL",Bihar,EAST CHAMPARAN,9677607394,76,25.63457,85.11398
